[17:57:54] === overnight sweep start: 17 benches, iter_cap=500000, time_cap=35.0min, deadline=11.5h ===
[17:57:55] ibm01: fresh start from legalized reference
[20:04:17] ibm10: 220000 iters, fast=1.0733 tilos=1.0733 ov=0 (608s)
[20:05:14] ibm10: 240000 iters, fast=1.0715 tilos=1.0715 ov=0 (665s)
[20:06:11] ibm10: 260000 iters, fast=1.0703 tilos=1.0703 ov=0 (722s)
[20:07:07] ibm10: 280000 iters, fast=1.0692 tilos=1.0692 ov=0 (778s)
[20:08:03] ibm10: 300000 iters, fast=1.0683 tilos=1.0683 ov=0 (834s)
[20:09:00] ibm10: 320000 iters, fast=1.0674 tilos=1.0674 ov=0 (891s)
[20:09:57] ibm10: 340000 iters, fast=1.0668 tilos=1.0668 ov=0 (948s)
[20:10:53] ibm10: 360000 iters, fast=1.0665 tilos=1.0665 ov=0 (1004s)
[20:11:49] ibm10: 380000 iters, fast=1.0661 tilos=1.0661 ov=0 (1060s)
[20:12:46] ibm10: 400000 iters, fast=1.0657 tilos=1.0657 ov=0 (1117s)
[20:13:43] ibm10: 420000 iters, fast=1.0651 tilos=1.0651 ov=0 (1174s)
[20:14:39] ibm10: 440000 iters, fast=1.0647 tilos=1.0647 ov=0 (1230s)
[20:15:36] ibm10: 460000 iters, fast=1.0643 tilos=1.0643 ov=0 (1286s)
[20:16:32] ibm10: 480000 iters, fast=1.0639 tilos=1.0639 ov=0 (1343s)
[20:17:29] ibm10: 500000 iters, fast=1.0633 tilos=1.0633 ov=0 (1400s)
[20:17:29] ibm10: DONE (500000 iters, 1400s)
[20:17:32] ibm11: fresh start from legalized reference
[20:18:13] ibm11: 20000 iters, fast=0.9744 tilos=0.9744 ov=0 (35s)
[20:18:53] ibm11: 40000 iters, fast=0.9512 tilos=0.9512 ov=0 (74s)
[20:19:32] ibm11: 60000 iters, fast=0.9403 tilos=0.9403 ov=0 (114s)
[20:20:12] ibm11: 80000 iters, fast=0.9343 tilos=0.9343 ov=0 (153s)
[20:20:51] ibm11: 100000 iters, fast=0.9298 tilos=0.9298 ov=0 (193s)
[20:21:31] ibm11: 120000 iters, fast=0.9278 tilos=0.9278 ov=0 (233s)
[20:22:11] ibm11: 140000 iters, fast=0.9264 tilos=0.9264 ov=0 (273s)
[20:22:51] ibm11: 160000 iters, fast=0.9250 tilos=0.9250 ov=0 (313s)
[20:23:31] ibm11: 180000 iters, fast=0.9239 tilos=0.9239 ov=0 (352s)
[20:24:11] ibm11: 200000 iters, fast=0.9223 tilos=0.9223 ov=0 (392s)
[20:24:51] ibm11: 220000 iters, fast=0.9212 tilos=0.9212 ov=0 (432s)
